Feature,Importance
num__number_inpatient,0.18016709213865326
num__discharge_disposition_id,0.08644857594264284
num__encounter_id,0.07666230971817982
num__patient_nbr,0.07582940799404994
num__num_lab_procedures,0.06293475259339906
num__num_medications,0.062064462892645486
num__time_in_hospital,0.051712831179206276
num__number_diagnoses,0.04399188348627532
num__number_emergency,0.03998086226904584
num__num_procedures,0.030180822720471078
num__admission_type_id,0.02368969749984641
num__number_outpatient,0.02285979483649683
num__admission_source_id,0.020532740674150493
cat__insulin_No,0.009775725421522113
cat__age_[50-60),0.009713139481768737
cat__gender_Female,0.009703394724271732
cat__gender_Male,0.009338649112720327
cat__insulin_Down,0.00921940444130769
cat__metformin_No,0.008566262244690113
cat__age_[80-90),0.008404246709974408
cat__age_[70-80),0.008381333241823568
cat__metformin_Steady,0.008032273369264764
cat__age_[60-70),0.00742679276869339
cat__insulin_Steady,0.006404529232698887
cat__glipizide_Steady,0.006221138223438423
cat__age_[40-50),0.005997504867696167
cat__glipizide_No,0.005938386389352946
cat__diabetesMed_Yes,0.005579348788617361
cat__glyburide_No,0.0055703806088183705
cat__change_Ch,0.005531387309201412
cat__change_No,0.005211359796683514
cat__glyburide_Steady,0.0050930053064789154
cat__pioglitazone_No,0.004992281458334536
cat__insulin_Up,0.004982309415722163
cat__pioglitazone_Steady,0.004970697730838028
cat__diabetesMed_No,0.0049054811575230785
cat__rosiglitazone_Steady,0.0048361345159751495
cat__rosiglitazone_No,0.004794312926922241
cat__age_[20-30),0.004669013174719224
cat__glimepiride_No,0.004581050376549227
cat__age_[30-40),0.004545031700208614
cat__age_[90-100),0.004524270335978238
cat__glimepiride_Steady,0.004505068309018375
cat__metformin_Up,0.0026920168450036072
cat__repaglinide_No,0.002376651557178547
cat__repaglinide_Steady,0.0021940281994976157
cat__age_[10-20),0.0017526519401664172
cat__glyburide_Up,0.0017107785558237271
cat__glipizide_Up,0.0016804793304377656
cat__metformin_Down,0.0016773752369314866
cat__glipizide_Down,0.0016162547796775932
cat__glyburide-metformin_Steady,0.0015557978223783868
cat__glyburide-metformin_No,0.001467437540511262
cat__glyburide_Down,0.0014563498501324438
cat__nateglinide_No,0.0013308264023886194
cat__nateglinide_Steady,0.0013176429030042833
cat__acarbose_No,0.0010117185951147739
cat__glimepiride_Up,0.0009603265624062324
cat__acarbose_Steady,0.0009364776626886686
cat__glimepiride_Down,0.0008350252822743036
cat__pioglitazone_Up,0.0006208989003523425
cat__age_[0-10),0.0005878396811732765
cat__rosiglitazone_Up,0.00047448377813996153
cat__pioglitazone_Down,0.0004306164472856208
cat__repaglinide_Up,0.000357965394984008
cat__rosiglitazone_Down,0.0002934445399671726
cat__chlorpropamide_No,0.00019635529015338266
cat__tolazamide_No,0.00017057974287354742
cat__chlorpropamide_Steady,0.00013027807934392878
cat__tolazamide_Steady,0.0001101296854581641
cat__repaglinide_Down,0.00010411980488291506
cat__miglitol_No,8.714768512267177e-05
cat__tolbutamide_Steady,5.988635815358144e-05
cat__miglitol_Steady,5.1738256430217275e-05
cat__glipizide-metformin_Steady,4.606157992956588e-05
cat__nateglinide_Down,4.283178608668418e-05
cat__nateglinide_Up,4.2448129343726936e-05
cat__glipizide-metformin_No,3.538670711030074e-05
cat__tolbutamide_No,2.9464724881116782e-05
cat__acarbose_Up,2.4202543688834967e-05
cat__acarbose_Down,2.4157320239315134e-05
cat__miglitol_Down,1.3789490307721993e-05
cat__gender_Unknown/Invalid,5.426017876047421e-06
cat__glyburide-metformin_Down,3.3290387914680162e-06
cat__chlorpropamide_Up,2.9129416277168427e-06
cat__metformin-rosiglitazone_Steady,2.535889427420378e-06
cat__metformin-pioglitazone_No,2.5339608784881827e-06
cat__glyburide-metformin_Up,2.3602326282855137e-06
cat__glimepiride-pioglitazone_No,2.074740046825994e-06
cat__tolazamide_Up,1.3815638453779883e-06
cat__glimepiride-pioglitazone_Steady,1.2091206989532078e-06
cat__miglitol_Up,1.1750700187964599e-06
cat__metformin-pioglitazone_Steady,2.493467625942008e-07
cat__acetohexamide_No,0.0
cat__citoglipton_No,0.0
cat__metformin-rosiglitazone_No,0.0
cat__troglitazone_No,0.0
cat__examide_No,0.0
cat__chlorpropamide_Down,0.0
