Feature,Mean_SHAP
num__number_inpatient,0.04255074429510071
num__discharge_disposition_id,0.027008395459616086
num__number_diagnoses,0.013628677680979112
num__time_in_hospital,0.01141465660262736
num__num_medications,0.00947803836190609
cat__insulin_No,0.007009140213477197
num__number_emergency,0.006987696941704523
cat__metformin_No,0.006339098393575518
num__num_lab_procedures,0.006129899904378892
cat__diabetesMed_Yes,0.00546692868772612
cat__age_[50-60),0.004945573087031082
cat__diabetesMed_No,0.0048831634835182595
cat__metformin_Steady,0.004082674541373697
num__num_procedures,0.0039576221930407345
num__number_outpatient,0.0032394810653814383
num__admission_source_id,0.003176939304500301
cat__insulin_Down,0.003118908166017474
num__admission_type_id,0.0029686985177728533
cat__age_[70-80),0.0014961253397069042
cat__age_[80-90),0.0013878227973637928
cat__pioglitazone_Steady,0.0012879184716740222
cat__gender_Female,0.0012842611345239936
cat__glimepiride_Steady,0.0012649291997577454
cat__gender_Male,0.0012174099811952375
cat__insulin_Steady,0.0011193843367389167
cat__change_Ch,0.0011158744993811952
cat__glimepiride_No,0.0011126622634069876
cat__age_[40-50),0.0010938802546572118
cat__glyburide_No,0.0010660228615362083
cat__change_No,0.001041230519235429
cat__pioglitazone_No,0.0010191445025623921
cat__rosiglitazone_No,0.0009717492873230235
cat__age_[60-70),0.0009693668608675793
cat__glipizide_Steady,0.0008793447884964497
cat__age_[90-100),0.000836604828772159
cat__glyburide_Steady,0.000804486353278562
cat__insulin_Up,0.0007203097623916876
cat__glipizide_No,0.0007023720468870942
cat__rosiglitazone_Steady,0.0006364517556988937
cat__metformin_Up,0.0005850129674938544
cat__age_[10-20),0.0005602812138357794
cat__age_[30-40),0.0005050817852486366
cat__age_[20-30),0.0003675723633274091
cat__glyburide_Up,0.0002123323719953351
cat__glyburide-metformin_No,0.00021205140525060417
cat__glyburide-metformin_Steady,0.00015955100124224368
cat__repaglinide_No,0.00013071868557644817
cat__repaglinide_Steady,0.00013006881927560838
cat__age_[0-10),0.00011876549940860642
cat__glipizide_Up,0.000112405297918901
cat__nateglinide_No,0.00010117955444748798
cat__acarbose_Steady,9.0665057991849e-05
cat__glyburide_Down,9.060002759843254e-05
cat__nateglinide_Steady,7.843574669689446e-05
cat__metformin_Down,7.824523855827432e-05
cat__acarbose_No,7.611623177320538e-05
cat__pioglitazone_Up,7.357945227572389e-05
cat__glipizide_Down,5.8269277634401255e-05
cat__rosiglitazone_Up,4.783196083924269e-05
cat__glimepiride_Down,4.1633040764915206e-05
cat__glimepiride_Up,3.1910321410022835e-05
cat__rosiglitazone_Down,2.131749898774069e-05
cat__repaglinide_Up,2.098643301621017e-05
cat__chlorpropamide_Steady,1.974338051543117e-05
cat__chlorpropamide_No,1.867035979207744e-05
cat__pioglitazone_Down,1.6100718880412912e-05
cat__repaglinide_Down,1.068158591537871e-05
cat__acarbose_Down,4.521426523751458e-06
cat__miglitol_Steady,4.480267730382334e-06
cat__tolazamide_No,4.376595056847839e-06
cat__tolbutamide_No,4.274757596846012e-06
cat__glipizide-metformin_Steady,3.967067603359183e-06
cat__tolazamide_Steady,3.1004136292681924e-06
cat__nateglinide_Down,3.0171343482426757e-06
cat__miglitol_No,2.856418533123879e-06
cat__tolbutamide_Steady,2.5763121512154203e-06
cat__glipizide-metformin_No,1.942442625511617e-06
cat__acarbose_Up,1.8250933538972203e-06
cat__nateglinide_Up,1.5723419282848282e-06
cat__glyburide-metformin_Up,9.483157163910466e-07
cat__miglitol_Down,6.639540221365997e-07
cat__chlorpropamide_Up,2.44916937935584e-07
cat__glyburide-metformin_Down,2.344908557182415e-07
cat__gender_Unknown/Invalid,1.7051680646242763e-07
cat__metformin-rosiglitazone_No,9.149511629049856e-08
cat__miglitol_Up,9.069030963127895e-08
cat__metformin-pioglitazone_Steady,7.534454087505918e-08
cat__glimepiride-pioglitazone_No,4.9779756688670524e-08
cat__metformin-rosiglitazone_Steady,3.29329248263687e-08
cat__metformin-pioglitazone_No,2.1500861634147588e-08
cat__chlorpropamide_Down,5.5951554017380054e-09
cat__citoglipton_No,0.0
cat__glimepiride-pioglitazone_Steady,0.0
cat__examide_No,0.0
cat__tolazamide_Up,0.0
cat__acetohexamide_No,0.0
cat__troglitazone_No,0.0
